Team;Tournament;Goals;Shots pg;yellow_cards;red_cards;Possession%;Pass%;AerialsWon;Rating
Manchester City;Premier League;83;15,8;46;2;60,8;89,4;12,8;7,01
Bayern Munich;Bundesliga;99;17,1;44;3;58,1;85,5;12,9;6,95
Paris Saint-Germain;Ligue 1;86;15;73;7;60,1;89,5;9,5;6,88
Barcelona;LaLiga;85;15,3;68;2;62,4;89,7;10,6;6,87
Real Madrid;LaLiga;67;14,4;57;2;57,7;87,7;11,8;6,86
Manchester United;Premier League;73;13,8;64;1;54,5;84,8;14,5;6,85
Juventus;Serie A;77;15,7;76;6;55,4;88,3;11,4;6,85
Aston Villa;Premier League;55;13,7;63;4;49,1;78,6;19,4;6,84
Borussia Dortmund;Bundesliga;75;14,6;43;1;57,5;85,5;12,8;6,84
Atletico Madrid;LaLiga;67;12,1;100;0;51,8;83,1;14,4;6,84
